Codi INE,Municipi,Comarca,Domèstic Xarxa 2023,Activitats Econòmiques 2023,Total 2023
08099,GUARDIOLA DE BERGUEDA,"BERGUEDÀ, EL             ",31625,8011,39636
43070,"GUIAMETS, ELS","PRIORAT, EL              ",8752,4477,13229
17082,GUILS DE CERDANYA,"CERDANYA, LA             ",29339,145761,175100
25109,GUIMERA,"URGELL, L'               ",13103,13299,26402
25903,"GUINGUETA D'ANEU, LA","PALLARS SOBIRÀ, EL       ",46224,11032,57256
25110,GUISSONA,"SEGARRA, LA              ",253031,1614672,1867703
25111,GUIXERS,"SOLSONÈS, EL             ",1984,129979,131963
08100,GURB,OSONA                    ,90404,1482262,1572666
43071,HORTA DE SANT JOAN,TERRA ALTA               ,50002,36267,86269
08101,"HOSPITALET DE LLOBREGAT, L'","BARCELONÈS, EL           ",9338154,2823075,12161229
08162,"HOSTALETS DE PIEROLA, ELS","ANOIA, L'                ",134732,152193,286925
17083,HOSTALRIC,"SELVA, LA                ",176758,574372,751130
08102,IGUALADA,"ANOIA, L'                ",1468781,2607663,4076444
25115,ISONA I CONCA DELLA,"PALLARS JUSSÀ, EL        ",35379,9463,44842
17084,ISOVOL,"CERDANYA, LA             ",39125,22977,62102
25112,IVARS DE NOGUERA,"NOGUERA, LA              ",11722,7993,19715
25113,IVARS D'URGELL,"PLA D'URGELL, EL         ",60010,55219,115229
25114,IVORRA,"SEGARRA, LA              ",3626,50648,54274
17085,JAFRE,"BAIX EMPORDÀ, EL         ",20356,9619,29975
17086,"JONQUERA, LA","ALT EMPORDÀ, L'          ",122583,198586,321169
08103,JORBA,"ANOIA, L'                ",30167,36602,66769
25910,JOSA I TUIXEN,"ALT URGELL, L'           ",23640,3432,27072
17087,JUIA,"GIRONÈS, EL     ",16126,52997,69123
25118,JUNCOSA,"GARRIGUES, LES           ",11575,49466,61041
25119,JUNEDA,"GARRIGUES, LES           ",126310,202373,328683
25121,LES,"VAL D'ARAN, LA           ",49820,9693,59513
25122,LINYOLA,"PLA D'URGELL, EL         ",108652,13968,122620
08104,"LLACUNA, LA","ANOIA, L'                ",48827,14467,63294
17088,LLADO,"ALT EMPORDÀ, L'          ",32132,6005,38137
