any,municipi,sexe,concepte,estat,valor
2023,Campelles,dones,població,,75
2023,Campelles,total,població,,164
2023,Campins,homes,població,,302
2023,Campins,dones,població,,287
2023,Campins,total,població,,589
2023,Campllong,homes,població,,266
2023,Campllong,dones,població,,269
2023,Campllong,total,població,,535
2023,Camprodon,homes,població,,1209
2023,Camprodon,dones,població,,1278
2023,Camprodon,total,població,,2487
2023,Canejan,homes,població,,50
2023,Canejan,dones,població,,47
2023,Canejan,total,població,,97
2023,Canet d'Adri,homes,població,,382
2023,Canet d'Adri,dones,població,,367
2023,Canet d'Adri,total,població,,749
2023,Canet de Mar,homes,població,,7300
2023,Canet de Mar,dones,població,,7710
2023,Canet de Mar,total,població,,15010
2023,"Canonja, la",homes,població,,2890
2023,"Canonja, la",dones,població,,3032
2023,"Canonja, la",total,població,,5922
2023,Canovelles,homes,població,,8789
2023,Canovelles,dones,població,,8262
2023,Canovelles,total,població,,17051
2023,Cànoves i Samalús,homes,població,,1692
2023,Cànoves i Samalús,dones,població,,1630
2023,Cànoves i Samalús,total,població,,3322
2023,Cantallops,homes,població,,168
2023,Cantallops,dones,població,,157
2023,Cantallops,total,població,,325
2023,Canyelles,homes,població,,2727
2023,Canyelles,dones,població,,2491
2023,Canyelles,total,població,,5218
2023,Capafonts,homes,població,,63
2023,Capafonts,dones,població,,47
2023,Capafonts,total,població,,110
2023,Capçanes,homes,població,,213
2023,Capçanes,dones,població,,211
2023,Capçanes,total,població,,424
2023,Capellades,homes,població,,2679
2023,Capellades,dones,població,,2738
2023,Capellades,total,població,,5417
2023,Capmany,homes,població,,342
2023,Capmany,dones,població,,326
2023,Capmany,total,població,,668
2023,Capolat,homes,població,,42
2023,Capolat,dones,població,,46
2023,Capolat,total,població,,88
2023,Cardedeu,homes,població,,9211
2023,Cardedeu,dones,població,,9812
2023,Cardedeu,total,població,,19023
2023,Cardona,homes,població,,2256
2023,Cardona,dones,població,,2313
2023,Cardona,total,població,,4569
2023,Carme,homes,població,,404
2023,Carme,dones,població,,379
2023,Carme,total,població,,783
2023,Caseres,homes,població,,119
2023,Caseres,dones,població,,122
2023,Caseres,total,població,,241
2023,Cassà de la Selva,homes,població,,5548
2023,Cassà de la Selva,dones,població,,5288
2023,Cassà de la Selva,total,població,,10836
2023,Casserres,homes,població,,811
2023,Casserres,dones,població,,819
2023,Casserres,total,població,,1630
2023,"Castell d'Aro, Platja d'Aro i s'Agaró",homes,població,,6094
2023,"Castell d'Aro, Platja d'Aro i s'Agaró",dones,població,,6472
2023,"Castell d'Aro, Platja d'Aro i s'Agaró",total,població,,12566
2023,Castell de l'Areny,homes,població,,39
2023,Castell de l'Areny,dones,població,,30
2023,Castell de l'Areny,total,població,,69
2023,Castell de Mur,homes,població,,99
2023,Castell de Mur,dones,població,,80
2023,Castell de Mur,total,població,,179
